accidentId,severity,eventDate,side,city,county,state,zipcode,temperature_F,windChill_F,humidity_perc,pressure_in,visibility_mi,windDirection,windSpeed_mph,precipitation_in,weatherCondition,sunriseSunset
A-254306,2,2021-06-15,R,Modesto,Stanislaus,CA,95350,60,60,60,29.96,10,N,9,0,Fair,Day
A-1000232,2,2021-08-28,R,Kansas City,Jackson,MO,64133,77,77,82,28.94,10,S,10,0,Fair,Night
A-58914,2,2016-11-30,R,Ellenwood,Clayton,GA,30294,68,,90,29.82,9,South,15,,Overcast,Day
A-329109,2,2021-04-16,R,Oakdale,Stanislaus,CA,95361-9416,51,51,66,29.88,10,NNW,9,0,Fair,Night
A-949729,2,2021-06-29,L,Charlotte,Mecklenburg,NC,28211-1129,89,89,52,29.45,10,SE,12,0,Mostly Cloudy,Day
A-259313,2,2021-12-01,R,New Orleans,Orleans,LA,70117-4614,56,56,87,30.17,10,E,7,0,Fair,Night
A-1027539,2,2021-10-27,R,Glen Saint Mary,Baker,FL,32040,66,66,88,29.77,10,VAR,5,0,Fair,Night
A-246126,2,2021-12-14,R,San Jose,Santa Clara,CA,95126,51,51,61,29.85,10,NW,10,0,Partly Cloudy,Day
A-551927,2,2021-09-23,L,Bradenton,Manatee,FL,34203,86,86,67,29.82,10,W,8,0,Fair,Day
A-383621,2,2021-10-13,R,Tampa,Hillsborough,FL,33619,73,73,94,29.95,10,CALM,0,0,Fair,Night
A-208603,2,2017-06-30,R,Fort Wayne,Allen,IN,46825,82.4,,62,29.9,10,SW,8.1,,Scattered Clouds,Day
A-157168,2,2017-03-14,R,Gansevoort,Saratoga,NY,12831,23,9.2,85,29.48,0.2,North,17.3,,Light Freezing Fog,Day
A-900072,2,2021-08-28,R,Corona,Riverside,CA,92881,80,80,52,29.21,10,WNW,6,0,Fair,Day
A-888480,2,2021-06-03,R,Los Angeles,Los Angeles,CA,90056-1207,67,67,68,29.74,10,WSW,13,0,Fair,Day
A-533556,2,2021-10-25,R,Hacienda Heights,Los Angeles,CA,91745-1720,59,59,81,29.82,10,CALM,0,0,Fair,Night
A-660785,2,2021-06-11,R,Allentown,Lehigh,PA,18106,61,61,94,29.57,4,E,3,0.05,Rain,Day
A-515211,2,2021-12-26,R,Portland,Clackamas,OR,97222,34,25,75,29.42,10,SW,13,0,Mostly Cloudy,Night
A-496200,2,2021-06-11,R,Wichita Falls,Wichita,TX,76309-4619,93,93,54,28.72,10,S,16,0,Fair,Day
A-811995,2,2021-06-25,R,Sebastopol,Sonoma,CA,95472-2608,79,79,47,29.77,10,S,9,0,Fair,Day
A-456769,2,2021-05-03,R,San Bernardino,San Bernardino,CA,92408,59,59,72,28.64,7,CALM,0,0,Mostly Cloudy,Day
A-769415,2,2021-03-29,R,Coalinga,Fresno,CA,93210,75,75,23,29.75,10,N,14,0,Fair,Day
A-891454,2,2021-12-23,L,Spartanburg,Spartanburg,SC,29301-5749,52,52,28,29.36,10,CALM,0,0,Fair,Day
A-405994,2,2021-12-31,R,Greenville,Greenville,SC,29607-5922,68,68,56,28.84,10,SW,3,0,Mostly Cloudy,Day
A-179915,2,2017-05-02,R,Allentown,Lehigh,PA,18103,62.6,,94,29.62,10,Calm,,0.16,Overcast,Night
A-603908,2,2021-06-05,R,Provo,Utah,UT,84604,67,67,51,25.43,10,SE,7,0,Fair,Day
